terms,freq,cluster,tsne_1,tsne_2,modele
solid waste,18.52994977859374,13,1.1481987,2.1163611,top2vec
food waste,10.095725588472671,13,1.3439636,2.2956862,top2vec
waste diversion,9.30809504009165,13,0.9987754,2.039577,top2vec
recycling composting,7.532337306128382,13,1.7761537,2.2348106,top2vec
waste recycling,6.001799566799772,13,1.6407915,2.340486,top2vec
waste collection,5.842694106077003,13,1.1237434,2.0298936,top2vec
waste management,5.836284408675816,13,-0.047808554,2.1986635,top2vec
yard waste,5.682290700887352,13,1.1800008,2.104989,top2vec
organic waste,5.654232511516785,13,1.2691457,2.1656122,top2vec
waste landfill,5.6041389984224965,13,1.2493994,2.3629456,top2vec
metric ton,4.723787212518875,13,-0.17061968,-0.13381205,top2vec
diversion rate,4.123731496484762,13,0.19648245,1.3317392,top2vec
waste disposal,4.00784241124197,13,1.0565715,2.006315,top2vec
food scrap,3.910237888098922,13,-0.52698183,-1.3861016,top2vec
recycling program,3.6988826975549434,13,2.0734155,1.8595414,top2vec
orient development,9.552703721929808,139,-1.7033373,-4.7594705,top2vec
transit orient,6.761901376293028,139,-0.70846385,-3.9350193,top2vec
transit orient development,5.176832316359017,139,-1.4356227,-4.38715,top2vec
land use,3.124420580010222,139,-2.3273087,-1.5467539,top2vec
high density,2.222787537976421,139,-2.396873,-1.1013278,top2vec
development project,1.6115842864647563,139,-1.7385701,-4.821205,top2vec
mixed use,1.5352058812717806,139,-1.2680997,-1.0209678,top2vec
affordable housing,1.449271427847066,139,-2.2973022,-3.7692516,top2vec
transit corridor,1.4402246514923531,139,-0.63000536,-3.8624852,top2vec
mix use,1.3439187235363894,139,-1.3093055,-0.98700166,top2vec
general plan,1.3384101875944678,139,-0.9553928,1.4375627,top2vec
walkable place,1.3302188592039876,139,-1.4113044,-1.9335713,top2vec
tree density,1.2350841717607035,139,-2.4334407,-1.9150615,top2vec
public transit,1.1984479653511275,139,-0.5319783,-3.9130075,top2vec
development zoning,1.1558521221520928,139,-1.749543,-4.785976,top2vec
infrastructure damage,5.612738784739797,180,-5.3510146,-1.3110664,top2vec
property damage,3.932570513695859,180,-4.340323,-1.3754197,top2vec
loss life,3.1115562829487384,180,-2.3514721,-0.8574953,top2vec
damage infrastructure,1.9675142047001162,180,-5.368213,-1.3101691,top2vec
damage public,1.8457465409419098,180,-4.0095863,-1.2252547,top2vec
commercial property damage,1.794250275673062,180,-3.7385654,-1.7859126,top2vec
residential commercial property,1.6483196122407882,180,-3.883067,-2.6124313,top2vec
commercial property,1.4950010523784432,180,-3.8650882,-2.427736,top2vec
residential commercial,1.402966966053965,180,-4.036113,-2.864889,top2vec
damage loss,1.3902085588208835,180,-4.2528005,-1.0782765,top2vec
damage property,1.2577826469957407,180,-4.3329935,-1.3384054,top2vec
public safety,1.2237786465602265,180,-1.21119,-3.112385,top2vec
negligible damage,1.1594342334402459,180,-3.13952,-0.9586609,top2vec
damage infrastructure damage,1.1144507970366384,180,-5.046441,-1.2408928,top2vec
property damage infrastructure,1.1144507970366384,180,-5.0284023,-1.3054335,top2vec
datum available,9.709475628636552,239,0.80165076,0.29732308,top2vec
information available,4.81937483169256,239,0.49780974,0.204803,top2vec
data collect,2.212386311862742,239,0.70362955,0.7000505,top2vec
data available,2.057264351923423,239,0.6305893,0.15686758,top2vec
datum collect,2.027122566881412,239,0.92339224,0.73369026,top2vec
data track,2.0,239,0.4434459,0.3937985,top2vec
collect datum,1.8758061818737433,239,0.92882955,0.76351327,top2vec
available datum,1.787415926295119,239,0.7029577,0.26527098,top2vec
datum provide,1.7430617631202443,239,1.0460904,0.33864257,top2vec
water use,1.2718160037500534,239,-4.20673,2.4093096,top2vec
data currently,1.1379170010848536,239,-0.29161975,0.25690186,top2vec
datum answer,1.1350565021405168,239,0.48720974,0.3719426,top2vec
datum answer question,1.1350565021405168,239,-0.12184455,0.07338455,top2vec
improved datum accuracy,1.108943029421208,239,-0.25585312,0.124410465,top2vec
improved datum,1.108943029421208,239,0.03226566,0.46937695,top2vec
farmer market,15.314050880776636,341,-0.6208432,-2.0782106,top2vec
fruit vegetable,8.239005173385584,341,-0.87642634,-1.6519619,top2vec
meal serve,4.974242113975825,341,-0.45484456,-1.1818273,top2vec
healthy food,4.58486939334555,341,-1.0627214,-2.6416008,top2vec
community garden,4.25811985700364,341,-0.05665576,-2.786042,top2vec
local food,3.9745691762596995,341,-0.41523674,-1.9687339,top2vec
fresh fruit,3.4505761672477964,341,-0.84314513,-1.4275502,top2vec
number meal,3.2845014446172227,341,-0.5697804,-0.29067254,top2vec
fresh fruit vegetable,3.059739630038783,341,-0.9052196,-1.5063441,top2vec
locally grow,2.4861790730157174,341,-0.51799774,-1.5593252,top2vec
food distribution,2.468906765233353,341,-0.35144365,-1.1023507,top2vec
provide meal,2.184400050265383,341,1.078815,-0.28069264,top2vec
grocery store,2.1791197011963153,341,-0.8580869,-1.4163951,top2vec
fresh food,2.1363866186025207,341,-0.7331527,-1.9467424,top2vec
food purchase,2.0518436776564943,341,-0.20708898,-1.678594,top2vec
sea level,31.230740433888705,344,-1.8922526,0.5549834,top2vec
level rise,29.319260687679712,344,-1.9184992,0.5283905,top2vec
sea level rise,28.023337280670663,344,-1.8001548,0.23515554,top2vec
storm surge,8.475410989165558,344,-4.386656,0.06315865,top2vec
flood mapping,8.239555167052238,344,-4.6175337,0.23937136,top2vec
climate change,7.046943398527368,344,-1.6194887,4.431653,top2vec
coastal flooding,3.7081282562944557,344,-4.7590384,0.21368726,top2vec
level confidence,3.6144458611755277,344,-1.4090025,0.31156066,top2vec
vulnerability assessment,3.4971275794912815,344,-2.4204295,1.6341046,top2vec
flood map,3.4546789733058803,344,-4.8765945,0.31262755,top2vec
level rise projection,3.394385550837832,344,-1.6643326,0.9625498,top2vec
