label,cluster,choix,modele
waste diversion,22,0,nmf_frobenius
transportation emission,25,0,nmf_frobenius
mix report,32,0,nmf_frobenius
locally grow,48,0,nmf_frobenius
poor air quality,50,0,nmf_frobenius
infrastructure damage,94,0,nmf_frobenius
increase energy,106,0,nmf_frobenius
include commercial building,108,0,nmf_frobenius
sea level rise,117,0,nmf_frobenius
community solar,118,0,nmf_frobenius
electri natural gas,119,0,nmf_frobenius
wastewater treatment,120,0,nmf_frobenius
electric bus,121,0,nmf_frobenius
action plan_0,124,0,nmf_frobenius
change impact,125,0,nmf_frobenius
increase tree canopy,126,0,nmf_frobenius
transit orient,127,0,nmf_frobenius
income household,128,0,nmf_frobenius
carbon neutrality,130,0,nmf_frobenius
solid waste,22,0,nmf_frobenius
datum available_0,25,0,nmf_frobenius
local government_0,32,0,nmf_frobenius
farmer market_0,48,0,nmf_frobenius
air quality_0,50,0,nmf_frobenius
green infrastructure,94,0,nmf_frobenius
renewable energy,106,0,nmf_frobenius
residential commercial,108,0,nmf_frobenius
sea level,117,0,nmf_frobenius
solar project,118,0,nmf_frobenius
natural gas,119,0,nmf_frobenius
water supply,120,0,nmf_frobenius
electric vehicle,121,0,nmf_frobenius
action plan_1,124,0,nmf_frobenius
climate change,125,0,nmf_frobenius
tree canopy_0,126,0,nmf_frobenius
open space,127,0,nmf_frobenius
extreme heat,128,0,nmf_frobenius
greenhouse gas,130,0,nmf_frobenius
waste solid,22,1,nmf_frobenius
datum available_1,25,1,nmf_frobenius
local government_1,32,1,nmf_frobenius
farmer market_1,48,1,nmf_frobenius
air quality_1,50,1,nmf_frobenius
infrastructure stormwater,94,1,nmf_frobenius
energy efficiency,106,1,nmf_frobenius
commercial building,108,1,nmf_frobenius
rise level,117,1,nmf_frobenius
project fund,118,1,nmf_frobenius
use natural,119,1,nmf_frobenius
water treatment,120,1,nmf_frobenius
vehicle charge,121,1,nmf_frobenius
plan action,124,1,nmf_frobenius
change climate,125,1,nmf_frobenius
tree canopy_1,126,1,nmf_frobenius
open development,127,1,nmf_frobenius
income heat,128,1,nmf_frobenius
emission inventory,130,1,nmf_frobenius
